No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,F
1,RCC,38.295898,127.245467,4240102.462846,346572.156142,50,2,N
2,RCC,38.273627,127.313927,4237519.643129,352514.038981,34,5,N
3,RCC,38.299011,127.245084,4240448.611925,346545.15111,27,2,N
4,RCC,38.296435,127.245589,4240161.86258,346583.940525,19,5,N
5,RCC,38.294119,127.211469,4239962.084167,343595.073811,12,0,N
6,RCC,38.264288,127.244729,4236595.96066,346440.984541,11,0,N
7,RCC,38.299203,127.242022,4240475.022135,346277.830474,10,0,N
8,RCC,38.258985,127.128739,4236206.491697,336280.925005,10,2,N
9,RCC,38.256129,127.243032,4235693.435016,346275.28337,7,0,N
10,RCC,38.281708,127.216795,4238575.787808,344034.300567,5,0,N
11,RCC,38.294366,127.248831,4239926.929453,346863.110144,5,2,N
12,RCC,38.262076,127.24025,4236357.944953,346044.457041,4,0,N
13,RCC,38.284047,127.220264,4238829.491051,344342.755102,4,2,F
14,RCC,38.259351,127.136943,4236232.518696,336999.587355,4,2,F
15,RCC,38.269483,127.124236,4237379.369952,335910.57679,4,2,F
16,RCC,38.283011,127.21759,4238719.068922,344106.660068,4,2,F
17,RCC,38.255048,127.245461,4235569.339091,346485.561955,4,2,F
18,RCC,38.293014,127.353271,4239608.93265,355994.149206,4,2,F
19,RCC,38.260887,127.243706,4236220.253467,346344.326716,4,2,F
20,RCC,38.266467,127.181075,4236945.421891,340876.572113,4,2,F
21,RCC,38.29988,127.243206,4240548.161636,346382.764625,4,2,F
22,RCC,38.290431,127.207316,4239559.811582,343223.918919,4,2,F
23,RCC,38.258217,127.239734,4235930.581667,345991.141026,4,2,F
24,RCC,38.254738,127.087777,4235808.466865,332687.102711,4,2,F
25,RCC,38.27428,127.186339,4237803.36576,341354.127811,4,2,F
26,RCC,38.285146,127.218391,4238954.582929,344181.221375,4,2,F
27,RCC,38.274322,127.263192,4237678.909483,348077.267374,4,2,F
28,RCC,38.283341,127.179961,4238819.794609,340815.993295,4,2,F
29,RCC,38.273761,127.163796,4237784.630733,339380.920605,4,2,F
30,RCC,38.25615,127.24214,4235697.220477,346197.277659,4,2,F
31,RCC,38.282993,127.191993,4238760.558666,341867.626141,4,2,F
32,RCC,38.293473,127.365881,4239640.313287,357097.818738,4,2,F
33,RCC,38.27032,127.236605,4237278.833815,345743.009067,4,2,F
34,RCC,38.298322,127.270438,4240330.337513,348760.925472,4,2,F
35,RCC,38.265121,127.158825,4236834.54986,338926.956902,4,2,F
36,RCC,38.276287,127.183223,4238031.375559,341085.877553,4,2,F
37,RCC,38.28187,127.254466,4238530.864839,347329.692652,4,2,F
38,RCC,38.266407,127.232347,4236851.720193,345362.16061,4,2,F
39,RCC,38.274696,127.201193,4237824.095543,342654.476944,4,2,F
40,RCC,38.285561,127.26882,4238916.925993,348592.946874,4,0,N
41,RCC,38.271043,127.178176,4237458.134937,340632.930073,4,2,F
42,RCC,38.294703,127.22053,4240011.562139,344388.726194,4,2,F
43,RCC,38.282761,127.233421,4238664.701256,345490.801002,4,2,F
44,RCC,38.292423,127.230016,4239742.653536,345213.535374,4,2,F
45,RCC,38.260966,127.128128,4236427.34336,336231.937677,4,2,F
46,RCC,38.264374,127.189786,4236698.20169,341634.109158,4,2,F
47,RCC,38.26865,127.20332,4237149.627266,342827.468326,4,2,F
48,RCC,38.291148,127.261715,4239548.546187,347983.11419,4,2,F
49,RCC,38.268957,127.151698,4237272.6453,338311.909712,3,1,F
50,RCC,38.271377,127.196124,4237464.406787,342203.809661,3,1,F
51,RCC,38.260253,127.140249,4236326.792314,337290.850764,3,1,F
52,RCC,38.300023,127.363062,4240371.554403,356864.168742,3,1,F
53,RCC,38.288211,127.257451,4239229.670306,347604.111438,3,1,F
54,RCC,38.279192,127.213266,4238302.536316,343720.230555,3,1,F
55,RCC,38.29796,127.218627,4240376.177902,344229.303636,3,1,F
56,RCC,38.25385,127.146348,4235605.619443,337810.311991,3,1,F
57,RCC,38.254752,127.278183,4235482.764834,349348.252805,3,1,F
58,RCC,38.269784,127.178127,4237318.496485,340625.907063,3,1,F
59,RCC,38.261924,127.197734,4236412.657017,342324.244655,3,1,F
60,RCC,38.250499,127.079312,4235353.380111,331936.571408,3,1,F
61,RCC,38.278286,127.226724,4238179.368263,344895.53802,3,1,F
62,RCC,38.270855,127.185175,4237425.309243,341244.850911,3,1,F
63,RCC,38.28782,127.208609,4239267.883659,343331.436729,3,1,F
64,RCC,38.259171,127.249682,4236019.923179,346863.557769,3,1,F
65,RCC,38.278756,127.167291,4238332.894361,339697.644171,3,1,F
66,RCC,38.293487,127.266712,4239799.904793,348425.016604,3,1,F
67,RCC,38.298083,127.364586,4240153.88988,356993.617631,3,1,F
68,RCC,38.293614,127.257008,4239829.953153,347576.642317,3,1,F
69,RCC,38.269863,127.122911,4237423.897918,335795.531933,3,1,F
70,RCC,38.261445,127.136435,4236465.789626,336959.803197,3,1,F
71,RCC,38.258866,127.240294,4236001.647822,346041.503164,3,1,F
72,RCC,38.303276,127.237755,4240934.016254,345913.263981,3,1,F
73,RCC,38.299925,127.241544,4240555.936842,346237.571792,3,1,F
74,RCC,38.296315,127.22102,4240189.63659,344435.030191,3,1,F
75,RCC,38.292578,127.187107,4239832.582953,341461.142152,3,1,F
76,RCC,38.268827,127.176646,4237214.883684,340494.218988,3,1,F
